p1_0,p1_1,p1_2,p1_3,p2_0,p2_1,p2_2,p2_3,an_event
22302,13957,1496,4814,20789,10751,14162,13691,452917668
8182,31707,11738,10948,9714,15987,22167,15982,-1725229057
19571,6197,744,12778,18844,1410,8935,8430,491337307
973,10762,18889,25691,16284,17827,16889,1319,-1057842404
16348,25097,28226,18069,9409,538,18930,18576,-1459343793
16327,164,13265,13756,22814,377,1051,31275,-143500561
17718,18288,8814,22766,27528,23232,25410,32654,-1809023422
8703,25769,6797,25453,16810,13529,1927,29774,-1946550886
17086,26045,19945,17958,26510,32483,15474,18969,-2084728112
19509,28155,18914,12567,24126,23028,28379,21727,-1975004249
17875,31534,18361,19250,4263,29596,13796,349,-2234246798
31775,5218,4215,904,29744,14641,24376,29494,1478566365
28359,27315,31189,15400,16711,15874,11488,31692,-1612122140
6823,2351,30394,8698,15561,19912,13841,14023,-966638369
12129,14586,28233,9354,29252,7808,8365,22938,-419671431
27446,21211,25955,26400,3806,7577,23987,8976,-1831653914
20812,32002,5368,32301,32176,9143,29421,5007,114744670
25263,19731,10408,2884,22820,9869,5935,13795,560413255
145,22386,31209,15237,23429,30381,10743,17619,-2560923625
2525,2017,24680,3678,15369,12467,8693,14097,-505493808
5168,27282,9446,26513,1076,27532,7930,5010,-1906649445
21215,14478,27856,30157,20969,31453,20518,4645,-1444352195
8258,17470,14873,17765,5133,10841,21928,2318,-1028669004
29162,1979,11863,8724,9820,30760,23489,27890,-592989311
27676,29845,21725,15209,21593,24385,2262,1394,-401043773
7675,28273,23173,17048,5290,15702,5898,6862,-1314036045
27343,29870,26355,12668,6782,32405,6231,23075,-2478087269
6469,4099,9671,7066,2224,14654,18490,14016,-647101401
23921,6989,8202,11565,23182,26042,13661,28597,-140530775
22337,18688,5790,2423,28,6433,23964,32240,-672941887
31038,32273,3170,14022,29359,4179,21258,12945,1054929574
18481,16478,23156,319,7168,19744,24164,21025,-1518281957
26051,10557,31498,5516,25803,26840,18312,17526,-569254335
29809,28142,26542,1427,2335,2170,561,2837,-20838959
19210,25929,30562,20202,18363,22158,8272,6026,-1192671448
11389,19610,1142,28005,9142,14798,16168,13311,-1154626259
6938,9250,11490,30746,4917,20280,5157,32441,-2420363115
17625,17774,25494,9650,27560,6412,4830,20049,110308336
8364,11752,22718,21251,25213,4559,25708,11457,-1340422756
18356,30907,26906,6407,5945,24808,19624,11105,-2513559418
23127,28558,20083,4895,25516,22169,23531,1977,-1050542302
26151,531,27763,29071,28360,31523,3693,1881,1135346113
18122,1235,22717,12677,10822,4632,16093,12476,-666719254
15456,13958,20941,24836,4103,4238,6871,23906,-1466739199
29347,28276,16586,5475,15102,8968,4721,14959,58800786
28208,9825,17700,31855,23739,14740,173,20297,-249667557
12303,5734,2685,25037,4118,15102,28211,14973,-973165657
26661,29983,22208,19958,7625,1937,23191,10693,-1166475690
3973,10850,20299,3323,24968,20375,12455,16974,-862249077
25603,11939,5625,15232,5112,18566,26417,26611,-1289471737
1799,31599,13972,23415,24959,18089,2476,8979,-1543069974
24745,11348,3742,6555,8784,18651,2473,7289,-102705807
24668,18997,24883,1136,1152,1400,1050,14012,-80479512
9632,28219,19561,12215,25748,27255,20905,31731,-2635261668
24035,10359,3611,21496,22651,23627,19797,15544,-211952726
16060,28122,13912,26305,8204,24018,32180,19919,-3030691622
28012,8602,31037,5431,21441,4579,28274,355,-636522823
6035,26598,30839,9648,19036,21769,6308,23527,-1771336294
30015,24517,29820,22555,32138,31599,2848,18267,-614081117
28372,26884,2956,1908,6967,32244,30787,10233,-1559439387
24973,22353,10915,14066,21363,23182,21106,26607,-1178656575
4265,18789,1537,4111,6839,23306,13505,14167,-975488143
16474,23768,18352,30899,3770,29814,2852,27184,-3077637201
3867,26573,31057,14019,21871,27761,27394,19346,-3550226194
27087,25861,19900,14232,22185,2672,14762,6680,285918821
19968,22125,29068,25453,28934,21612,5042,13216,-766722260
25187,32620,54,23206,9661,786,2892,11129,-81466919
11302,22267,32709,21331,26769,27771,18560,6311,-2115108850
2799,20227,15572,8216,8937,11002,13375,16463,-1082171277
12503,21823,6194,14681,11610,16166,3374,30894,-1364212489
31047,24809,23631,26443,8817,2383,32005,7106,-1459213837
821,11083,12941,19222,27507,659,1403,29299,-1132152983
24966,23295,19808,9398,29224,30562,24394,3426,-995502137
19528,23244,19771,11424,16366,15691,31634,10433,-1579548913
16922,28498,20342,29070,16238,20031,18487,6421,-1717583403
20745,1465,29393,23599,21056,24720,1346,19719,-208702283
31738,32040,11766,7681,12327,16024,17491,10802,-821926621
6705,3590,22066,24326,15188,4709,16690,13318,-1214680986
24851,14689,15895,2258,7593,9498,2594,10260,-30477522
7128,1146,24114,14922,18123,19305,28655,10536,-1482346285
5624,25444,21072,32330,15938,14566,32295,6573,-2348062708
1174,4031,10098,16550,18466,10751,2381,21497,-802996848
30188,26750,1540,26885,1440,1419,3248,5612,-300771986
30731,687,3317,25374,25970,17554,13955,24780,221899934
23161,8187,25910,15849,10265,22003,12842,25277,-1351503728
26693,7838,30622,281,14693,4724,2935,15437,521913049
22079,29028,803,11057,24547,25210,6583,10939,-632130340
15718,18049,22620,12433,17666,29312,11860,27265,-1717308683
16585,23589,31694,14502,7592,15920,24179,2826,-2113925775
15040,18167,12183,28917,32231,16943,29797,25316,-1836277340
6272,5648,1826,16267,12539,7366,2538,5464,-112977946
23531,25950,180,11816,26364,1435,31945,26886,519361409
23156,12958,2938,20035,24918,16053,24596,8391,257199675
5834,4703,13530,3837,10444,8033,30778,130,-787584605
20222,543,10469,24586,10809,25804,13898,2199,9980764
21543,8735,8085,7684,10345,1466,23894,1302,13677790
10720,13295,6471,12415,2744,30838,11756,10400,-1171572977
30745,10690,8178,19530,11643,23223,0,8919,-128934548
22975,3758,2472,22831,18891,21726,10348,17670,-153289963
13430,28511,6246,17982,5901,8375,31573,30607,-1814235053
7051,26482,5078,21920,15304,5150,24616,30603,-1648612686
9098,12568,10497,14512,14597,21522,30073,15400,-1353702169
14172,27606,12756,27800,5318,16746,27530,25659,-2902856047
2839,7367,15210,21782,8435,14848,22737,8665,-1240073841
24625,11798,27356,27208,29877,4951,20994,19365,-847823462
27207,20934,13394,19407,453,20746,3180,25835,-1931921332
22631,8760,4238,30907,24850,2522,27175,9945,235485752
2941,8823,24934,21642,26673,4988,17682,9054,-1204801837
31098,2235,10657,1543,21519,5921,20470,2217,868764362
14383,5987,18228,19748,27698,28430,21046,20153,-1106893709
5606,8352,21305,5177,19908,20620,9340,7054,-592280700
28385,17617,6055,32100,822,13007,19988,783,-703995569
27325,18296,20082,31233,31621,15177,8093,16847,-204695668
19692,30238,1802,31636,22810,10118,32528,5730,-193350710
15049,31506,21805,19795,32675,20537,999,32265,-1631607119
16975,32636,32090,28752,3098,32127,29949,30512,-5668547011
15115,8852,19333,272,24795,18623,20033,19632,-365456799
13947,18986,17912,23647,8500,11448,25089,6343,-1396434620
11166,1664,13635,20243,5761,18878,8855,29864,-1384745850
5021,31463,18270,24420,8154,32753,10029,18785,-3263084515
17310,14199,883,26423,15271,10676,2582,20882,-882608106
17078,8007,5010,9668,13015,13973,14359,6237,-43735903
18563,12821,18044,27544,8251,9659,15638,12529,-1195915721
11963,6498,22378,671,27138,11169,29096,28729,-836664946
12035,23794,20738,26311,1620,5940,26658,32007,-3033637909
29739,31682,19509,31646,11549,17536,31218,31457,-3633321670
20000,11918,1290,30227,12777,7235,5943,4075,76924807
16993,13418,28682,3696,962,9005,10198,30558,-1019877386
22901,13492,31044,20384,1392,27288,28831,19761,-3268302985
8817,12755,6910,25580,15185,26771,30499,11083,-1403689706
1042,23257,3553,2167,22155,7434,21395,29031,-577517688
18486,11294,12911,21547,16437,27822,3007,8037,-444742827
25640,10484,8335,4174,10116,31374,19712,3292,-495221447
8787,19856,20701,5791,22676,21672,12841,23210,-1262628172
3161,31506,20657,21350,13984,12871,13341,6455,-1549459725
12505,20133,24986,16545,29627,4525,28640,221,-879771132
18798,12361,18231,30370,6900,21246,28704,30996,-3195168704
24531,15297,29218,19121,5433,9014,24261,6396,-1671584597
9735,31645,13475,31632,31649,32257,18583,28006,-3697936852
30974,1383,24430,25586,1717,2545,13241,25987,-1877476343
23598,8930,10186,3972,28651,5904,11881,977,996922101
13915,12122,29270,13140,5015,15146,484,5427,-398625095
18396,11325,25248,419,28663,20387,31766,21257,-1029071927
5883,10293,20197,8309,16175,13494,30081,9358,-1458119312
2710,26424,26824,14807,15281,1908,30937,14045,-2093692698
1340,24244,11412,6824,26292,9025,22806,894,-899903349
1643,30700,19865,12677,21387,29320,20559,11189,-2830492054
4897,8790,23664,13054,12430,19552,28779,7376,-1776638624
4716,10978,15891,26297,28104,6869,15922,2804,-539287367
31017,2971,4636,7914,10527,19053,19430,18083,73385761
8144,11703,1650,16272,17360,1275,4856,14509,-235319637
10856,7957,17,30733,1185,14489,11530,13025,-1005864930
22025,4967,29914,12274,12505,22833,18301,18403,-1222681604
6952,19651,29458,8195,30613,22534,20041,23645,-2028282229
4775,4921,29408,442,16113,19447,15340,24808,-961727158
3438,24731,19666,26124,8175,12708,19636,19119,-2343633009
20999,16967,4117,27277,4017,19577,20466,13362,-1393129240
2095,21976,4884,11007,1216,28606,11341,21223,-1830209096
19702,2940,21417,16804,6162,25600,21957,18322,-1464041406
8723,10721,32329,17433,27555,18859,21419,32533,-2442871896
27160,17676,25929,19959,14992,20196,12352,30895,-1773437719
18438,13315,13634,10116,6063,28898,28311,21464,-1752269987
12016,2627,32750,6457,9000,8613,11842,3790,-653585599
7586,8118,29353,25679,7748,12641,6880,8970,-952276357
8369,2038,31117,17734,30609,8304,29295,29221,-2381098619
8126,8776,32556,18560,147,5282,11418,11181,-1248815806
7426,14174,19532,27306,12068,20506,21113,18421,-2232866608
21399,32699,28996,28079,2117,9583,15234,28068,-2995842755
27848,25716,1384,23954,25451,19,30090,29398,-75193024
15194,13824,20919,24594,23076,31633,431,19167,-1134217782
24055,18038,15713,18376,12280,12742,17284,47,-413832739
9403,20187,28785,22860,26857,32631,13427,14713,-2258066035
4572,23974,22782,5459,31995,6858,11656,27217,-864523459
1287,10494,23653,25218,5463,16110,31423,1976,-1910240184
22873,29676,10203,6957,31212,19410,23666,30112,-626117753
8904,7457,30418,7066,9700,22573,20149,15590,-1610043697
15936,3578,10060,22166,18748,15997,14203,11902,-330387340
10334,16697,8829,29479,8552,259,30352,32366,-2276111324
8837,8434,6826,31482,24091,14865,26884,12515,-980014322
13323,14558,954,15046,15889,31867,5465,4842,-660625580
12042,21245,3219,3745,12658,2392,6365,19722,14462624
10715,22532,13149,7360,29933,27041,13100,16935,-1170950335
4954,24001,9403,2430,30352,17073,13338,18050,-857411345
7962,21234,23662,7168,4573,19014,30002,6354,-2245588299
5645,7421,4547,14709,29935,27331,472,3428,-172831362
13959,30667,28609,17265,10387,19498,18458,27667,-2917422044
17742,21801,12943,4094,9853,29722,22061,23925,-1713318121
13098,6105,12630,7145,29325,20212,17691,29186,-342539282
12310,16748,20453,20439,14811,30014,18699,5423,-1627318111
28885,5436,20961,18368,6788,24564,11699,5333,-561336962
18693,11761,16045,31906,30972,17172,14548,14191,-618425348
16874,16441,21791,6020,17478,31980,5494,1944,-724592132
7817,1459,14539,1124,8905,10881,415,29402,29265072
14330,5946,15994,15045,8819,9950,26268,7950,-945090540
21205,25743,3521,6069,23038,31033,2990,27532,-975990423
11238,31445,31954,12770,19926,756,19030,1533,-855017472
11797,28944,23793,22678,4047,29359,11656,16251,-2895843619
6257,15448,27118,13993,30605,640,22766,193,-876963828
31519,22670,15378,12999,9867,11805,32093,19036,-1395220877
8685,28395,30119,30255,27776,18984,10252,29049,-2970999535
12169,23904,23276,21588,9614,8513,27027,24106,-2472010449
27278,29517,5350,26598,11159,19193,23935,24242,-2069983690
20542,7815,9889,30457,19725,27802,11105,16191,-830078332
9931,5901,29011,9509,5434,237,16674,30462,-1441686903
14286,1620,8477,10760,14421,6362,14434,18885,-259731049
24811,19299,4956,7868,18685,30915,13537,14577,-629657726
24418,29077,13671,11939,21714,32218,15949,16017,-1631736467
30166,14448,5588,16443,3375,18899,20905,25536,-1415932844
32499,14786,31532,15483,25052,17324,26218,1689,-589706021
22103,8170,16081,20590,3857,20059,32031,32756,-2536361947
20382,1106,28599,22648,17306,4996,18598,30563,-1753799818
2602,31956,21037,32322,2977,17989,21703,3190,-2253595782
9542,31961,10310,18945,272,6756,8102,24195,-1510515479
5336,10345,23080,19941,11105,13748,23080,32209,-2515891480
32073,18646,28001,32251,9086,15708,23188,20723,-2638216226
13662,18207,24845,11779,29932,31161,15132,9668,-1296523194
13255,8505,13542,15963,3659,31694,13536,5197,-974671295
18093,589,17514,24957,8286,7380,9263,23252,-1193963226
2484,3920,3709,4015,10631,32450,21476,27851,-584574172
6055,5546,16593,1609,6811,10069,24413,5085,-855784037
17098,27116,7916,18098,30226,27265,26390,27536,-1859560601
9185,4529,30,28331,2423,11216,9566,27874,-1637105826
31670,13907,11889,29387,30917,15753,19819,4648,775680016
13873,20905,23782,29376,23254,17452,23123,32094,-3069905427
1999,1537,5168,18469,30015,20214,26491,26759,-1204410272
8986,27029,17235,23475,3769,21951,2911,22893,-2294082663
3069,15134,24603,4307,26039,25756,9793,16680,-1245353701
1867,18849,20612,9940,5159,12084,28699,14615,-1909956383
11014,30042,21073,20114,5234,24474,16379,18454,-2787910526
9276,13326,19916,20855,19009,13113,903,16185,-707898427
15618,14786,19494,25456,8780,12073,2874,2032,-298287057
4373,27029,13743,4683,20574,9968,31492,29396,-1499879016
21895,24062,29982,32095,24062,5350,8217,28419,-1520729822
6398,22618,31442,24057,11116,12615,22342,4514,-2050603042
23824,5461,24167,31478,14335,25259,1985,3172,111463793
3237,27057,4650,11854,10283,28654,31921,11147,-2045176001
15330,21959,842,19035,6146,23957,29839,12724,-1398368942
21720,9926,22939,28914,9259,22111,18095,9480,-1415136442
31028,31804,6849,15671,25850,30991,11254,20682,-1169535607
6609,2247,32240,3555,13812,23067,8602,20854,-624057788
27590,11179,10615,21596,31934,27861,19768,21273,-199315518
6096,12646,24846,25021,29795,1093,4356,13110,-536923227
23149,20697,29444,18547,18643,13809,26292,4488,-1423252617
32708,20924,26523,21233,19452,1912,19110,17661,-571266459
15372,13050,18339,15394,22410,3689,19813,8798,-404927961
6314,18564,30929,21098,22419,19023,19808,12217,-2164034536
15970,16116,28651,4210,7658,11975,31844,11423,-2062346317
30054,17978,13957,16898,24984,16760,25818,30965,-868094098
32285,7889,8006,23192,19634,27584,24552,1191,384135759
25317,4567,26841,32574,29143,19784,2011,21739,-229341668
15300,13312,17404,32198,8928,20751,1367,5599,-687452837
29566,23635,29257,17919,28160,22254,4969,29501,-734831369
17536,13589,21498,32514,9777,16304,30587,25593,-3079618474
1945,11697,23605,27792,26661,25398,265,27169,-2013153252
22487,5580,31314,20906,11998,20340,7307,16780,-846667162
5080,12861,27239,4729,5646,22871,30568,2377,-2218725367
8792,9974,27613,28981,19456,1917,25069,3733,-1296975715
4758,8984,10447,2825,3407,18981,20270,8812,-781954258
5464,14608,7385,31302,23282,1610,30031,110,-243086154
32183,28324,10738,32588,5227,11175,10401,23708,-2065202048
13567,17979,9694,13354,11824,6427,3202,10909,-263737560
6193,31435,4742,28483,30750,92,5764,29472,-1358497903
7543,1243,27583,15398,20777,13580,14960,25804,-1340296404
21609,5695,671,1567,27289,25236,1886,15301,841422020
19443,15822,4174,9044,13817,2800,20844,20906,-103502820
31729,29862,31934,4706,30744,11527,8956,27634,430388998
740,15467,6991,13864,1557,31561,18264,3561,-1328129673
22211,2053,196,19833,18678,19058,5814,6658,485078127
19979,26356,8664,24024,30701,12046,18845,11951,-309024094
27190,25824,30534,13466,20301,22829,10928,19153,-1258333501
27960,14788,13383,13872,5109,3891,24477,13958,-871839408
17442,11986,18109,10640,22165,32356,4119,31506,-822082681
18020,11312,18093,6653,12857,14574,2293,30529,-355592845
5417,18504,12211,18210,10044,16476,11873,26944,-1772211957
20442,20368,7671,9196,195,17422,29524,18202,-1489503362
27188,19916,4871,29314,18690,12885,30744,7620,-243227156
4680,19189,18839,29848,4903,27668,11951,15225,-2375165219
7187,8935,25083,27134,9482,13235,6335,9457,-931254326
18048,3316,234,25379,17738,4748,7030,6843,258122374
9285,24224,27836,21230,10721,11319,13453,22096,-2036489448
27469,28516,11617,30368,30409,32247,24831,20338,-1980707431
17834,17666,21360,14845,11322,26832,17940,20491,-1919018532
532,6573,1416,29524,29328,7118,15707,32207,-2008648107
12020,13021,476,20335,31458,30939,25547,23060,-1011670538
612,30553,32473,6220,25043,80,3691,13019,-375936787
11437,20703,13453,1107,15062,10712,22639,11131,-732826076
12521,8226,5964,29326,26773,30200,585,26845,-1407952480
101,7478,17513,18721,25631,2284,27393,12940,-1472966325
5591,21680,26809,24556,29,12616,17267,6785,-1805809365
12905,14959,7216,22810,30700,10702,1574,19057,-419936231
11325,10480,8566,2890,30026,32485,8482,19536,-259066772
11458,17566,27889,28113,6227,17786,13522,4712,-1501385481
8821,12511,22700,29271,19979,7540,31047,19615,-2394072188
10227,15019,16854,31196,8490,3099,24268,10495,-1392295944
12813,3658,14644,24985,164,10707,2837,21793,-1246272441
7884,6441,1413,2576,10226,10442,20479,26205,-166164116
21555,23957,9265,5265,29894,1498,28144,13133,557129549
12590,26168,32273,12558,18836,21029,20051,4437,-2031958566
5451,30141,3566,9102,18375,14490,8932,4978,-827524771
21297,15861,21666,21243,842,13257,7014,13834,-1276390828
24114,9614,12352,22496,14865,20010,5387,27629,-1044017511
22989,18879,14657,1886,21892,32670,15450,14781,-735682788
28740,30796,16142,6194,6326,13047,30571,19253,-1665450407
5672,11722,19557,3411,10857,501,5361,22550,-252167815
17909,17821,26711,9944,9985,4166,1955,16934,-232114829
1389,17296,1693,20493,13221,15180,6992,19782,-1322867086
1022,29786,13884,15423,5148,2171,28733,5540,-1087616489
2085,11931,3656,11369,24620,28276,11176,18047,-1064154770
11070,17344,6492,3065,455,16436,830,24420,-720568466
20151,31709,8233,31404,22323,28835,17462,8027,-1720746228
4359,4948,28839,25088,25950,23868,12282,16991,-1570934085
20871,16110,17455,32514,31883,22081,31960,20196,-1809646948
27475,20883,2920,12419,12203,16541,22819,30433,-909471253
24134,22033,29766,8305,15336,29841,17700,28099,-2095226406
14160,7334,3888,7744,14756,5054,12929,11526,64678517
15283,2734,25233,26858,30227,31667,6121,3310,264039955
29307,20221,12602,31433,27330,25842,23117,2485,-182099025
10820,19399,731,12023,25001,2094,4627,4637,341465746
28316,20379,21395,24837,27732,14442,12852,26403,-879593416
21855,8099,5862,30504,16045,30182,20029,30520,-1884385562
13728,19344,12328,23543,24791,14892,6770,28693,-1413457767
8523,25890,29603,5940,16731,13496,32574,24532,-2633672817
8494,15089,10749,10806,20705,19081,21548,25256,-1233179108
16867,8774,27693,12742,2395,30589,17841,7650,-1639102827
14013,18219,6993,2391,9646,15679,32344,8871,-795799904
5015,28230,17426,13819,26612,30924,931,11586,-1831727571
5587,26552,6566,28369,20281,18948,9369,10239,-1483571695
17419,28355,20565,24297,2872,16270,26442,23960,-3074501690
23546,11627,1104,29825,29549,6728,12164,7023,789262826
2955,7376,14914,16864,22959,3436,19129,24372,-1307643333
2366,16194,3644,20847,23681,6893,21687,9458,-663629542
7824,12794,25133,16852,13965,27450,15646,4284,-1414747982
15892,27700,27720,3982,6417,10092,18786,29142,-1628736161
30958,22834,2474,30841,2309,19427,29023,918,-944490900
16903,23214,12592,14564,13700,22631,2113,1337,-679757058
21290,30732,5880,7519,8218,27544,21299,20704,-1904891826
20144,11128,16858,24039,13769,8143,4518,31936,-1314302455
23568,2952,31996,26259,17337,7856,9084,3482,6594348
13887,27702,25298,24111,32538,16148,23763,2375,-1307825262
28176,7864,23802,29384,27368,19411,30270,1253,-277709746
9889,7671,19001,18785,20120,6072,28036,13547,-1269622597
4090,12812,10356,768,30367,31373,5457,20898,-700649049
16836,32150,7470,15956,156,15216,9482,7983,-1369559001
1034,11896,10853,16689,1939,19055,31164,10376,-1472146672
23287,20947,24836,2006,3640,2969,4046,13377,-209539476
10198,5471,5945,8478,21540,24322,23787,9624,-272844253
3949,25647,3479,11233,7945,3702,21138,5685,-401979872
32287,9019,12342,24942,10807,7354,681,3842,356717368
27243,3300,2561,16988,24683,8540,5231,17062,682004532
28807,19832,4990,24821,6726,31240,22858,27639,-2451810999
27376,28122,16221,2197,5274,23740,2338,6435,-1150630383
26681,19081,4162,26663,10471,22643,22789,19026,-1509673544
8865,15004,18939,6995,11020,30667,4191,7989,-995424052
24352,31729,27394,939,31535,13123,28840,4755,-885925213
2397,12054,10189,16478,12072,12966,19570,31859,-1703482357
2898,32630,2134,5017,25619,28101,10740,17079,-1902646428
23237,19213,1400,30894,16891,15580,21577,7680,-348673322
15236,19031,8318,6044,24016,32561,3777,11979,-715176174
6915,21390,14249,26440,28961,18993,25079,27946,-2604496285
9460,1878,21434,17179,32474,14097,26259,26378,-1470537953
20446,26929,12082,21636,23588,24049,10207,11231,-1063327756
22331,4053,14032,18427,11786,31640,11175,14719,-586185699
15818,27250,19976,15448,7852,14866,28313,24486,-2449486805
3658,9890,7109,31318,14070,8665,29734,9510,-1086920666
13957,1164,1041,31394,23265,24691,1145,23608,-892789345
23747,10657,17264,4678,26316,8694,19448,21171,194938253
28029,4981,1615,12168,29067,10323,4836,16362,1112741859
5694,12670,20832,5950,19368,12280,27426,24609,-1526189757
25119,1822,3472,5521,23348,4209,31659,4370,889484882
5671,23424,20486,12844,22342,24042,22738,12917,-2136386638
9889,18146,19515,31709,6823,12177,22783,9006,-1767388040
12120,26074,6877,10191,17204,8996,23398,24931,-882111863
11277,25751,5751,8927,21409,5088,26821,29529,-614944825
27006,29375,13734,17462,30457,25972,32229,27167,-1714886354
14988,22717,27421,12313,7223,11230,12806,14673,-1357381295
